np,omp_threads,mode,grid,iters,repeat,runtime_s
1,1,encrypt,64,500,1,0.020466
1,1,decrypt,64,500,1,0.012098
1,1,encrypt,64,1000,1,0.023570
1,1,decrypt,64,1000,1,0.021101
1,1,encrypt,64,2000,1,0.046958
1,1,decrypt,64,2000,1,0.042929
1,1,encrypt,128,500,1,0.042051
1,1,decrypt,128,500,1,0.044437
1,1,encrypt,128,1000,1,0.076362
1,1,decrypt,128,1000,1,0.071622
1,1,encrypt,128,2000,1,0.150711
1,1,decrypt,128,2000,1,0.140347
1,1,encrypt,256,500,1,0.149182
1,1,decrypt,256,500,1,0.150353
1,1,encrypt,256,1000,1,0.296183
1,1,decrypt,256,1000,1,0.298286
1,1,encrypt,256,2000,1,0.596115
1,1,decrypt,256,2000,1,0.600216
1,1,encrypt,512,500,1,0.599632
1,1,decrypt,512,500,1,0.599788
1,1,encrypt,512,1000,1,1.235229
1,1,decrypt,512,1000,1,1.216694
1,1,encrypt,512,2000,1,2.432447
1,1,decrypt,512,2000,1,2.416466
1,1,encrypt,1024,500,1,2.486298
1,1,decrypt,1024,500,1,2.479953
1,1,encrypt,1024,1000,1,4.967185
1,1,decrypt,1024,1000,1,5.023600
1,1,encrypt,1024,2000,1,10.057576
1,1,decrypt,1024,2000,1,9.996679
1,1,encrypt,2048,500,1,10.090697
1,1,decrypt,2048,500,1,10.042985
1,1,encrypt,2048,1000,1,20.033586
1,1,decrypt,2048,1000,1,19.973077
1,1,encrypt,2048,2000,1,39.914518
1,1,decrypt,2048,2000,1,40.018801
1,1,encrypt,4096,500,1,39.968165
1,1,decrypt,4096,500,1,40.247273
1,1,encrypt,4096,1000,1,79.995587
1,1,decrypt,4096,1000,1,80.288272
1,1,encrypt,4096,2000,1,159.712622
1,1,decrypt,4096,2000,1,159.890194
1,2,encrypt,64,500,1,0.017445
1,2,decrypt,64,500,1,0.013648
1,2,encrypt,64,1000,1,0.026393
1,2,decrypt,64,1000,1,0.032476
1,2,encrypt,64,2000,1,0.047356
1,2,decrypt,64,2000,1,0.044748
1,2,encrypt,128,500,1,0.028750
1,2,decrypt,128,500,1,0.027236
1,2,encrypt,128,1000,1,0.056506
1,2,decrypt,128,1000,1,0.053244
1,2,encrypt,128,2000,1,0.111065
1,2,decrypt,128,2000,1,0.104207
1,2,encrypt,256,500,1,0.090674
1,2,decrypt,256,500,1,0.087651
1,2,encrypt,256,1000,1,0.175959
1,2,decrypt,256,1000,1,0.173269
1,2,encrypt,256,2000,1,0.346623
1,2,decrypt,256,2000,1,0.342789
1,2,encrypt,512,500,1,0.330728
1,2,decrypt,512,500,1,0.328972
1,2,encrypt,512,1000,1,0.651781
1,2,decrypt,512,1000,1,0.658402
1,2,encrypt,512,2000,1,1.307929
1,2,decrypt,512,2000,1,1.297490
1,2,encrypt,1024,500,1,1.300020
1,2,decrypt,1024,500,1,1.312955
1,2,encrypt,1024,1000,1,2.608175
1,2,decrypt,1024,1000,1,2.584842
1,2,encrypt,1024,2000,1,5.130992
1,2,decrypt,1024,2000,1,5.145258
1,2,encrypt,2048,500,1,5.168324
1,2,decrypt,2048,500,1,5.129731
1,2,encrypt,2048,1000,1,10.329732
1,2,decrypt,2048,1000,1,10.244683
1,2,encrypt,2048,2000,1,20.414254
1,2,decrypt,2048,2000,1,20.422852
1,2,encrypt,4096,500,1,20.532819
1,2,decrypt,4096,500,1,20.532801
1,2,encrypt,4096,1000,1,40.841922
1,2,decrypt,4096,1000,1,40.740754
1,2,encrypt,4096,2000,1,81.417579
1,1,encrypt,64,500,1,0.015180
1,1,decrypt,64,500,1,0.012650
1,1,encrypt,64,1000,1,0.024954
