np,omp_threads,mode,grid,iters,repeat,runtime_s
1,1,encrypt,32,2000,1,0.211185
1,1,decrypt,32,2000,1,0.081229
1,1,encrypt,64,2000,1,0.180764
1,1,decrypt,64,2000,1,0.163294
1,1,encrypt,128,2000,1,0.451232
1,1,decrypt,128,2000,1,0.393360
1,1,encrypt,256,2000,1,1.558061
1,1,decrypt,256,2000,1,1.444981
1,1,encrypt,1024,2000,1,23.616628
1,1,decrypt,1024,2000,1,21.471555
1,1,encrypt,2048,2000,1,93.239995
1,1,decrypt,2048,2000,1,87.564859
1,1,encrypt,4096,2000,1,373.407123
1,1,decrypt,4096,2000,1,353.674519
1,2,encrypt,32,2000,1,0.179975
1,2,decrypt,32,2000,1,0.061943
1,2,encrypt,64,2000,1,0.128831
1,2,decrypt,64,2000,1,0.089429
1,2,encrypt,128,2000,1,0.355331
1,2,decrypt,128,2000,1,0.344603
1,2,encrypt,256,2000,1,1.233024
1,2,decrypt,256,2000,1,1.135740
1,2,encrypt,1024,2000,1,19.054057
1,2,decrypt,1024,2000,1,17.413212
1,2,encrypt,2048,2000,1,76.161302
1,2,decrypt,2048,2000,1,69.705209
1,2,encrypt,4096,2000,1,303.537333
1,2,decrypt,4096,2000,1,278.688232
1,4,encrypt,32,2000,1,0.266875
1,4,decrypt,32,2000,1,0.097392
1,4,encrypt,64,2000,1,0.171027
1,4,decrypt,64,2000,1,0.155314
1,4,encrypt,128,2000,1,0.394679
1,4,decrypt,128,2000,1,0.357915
1,4,encrypt,256,2000,1,1.311678
1,4,decrypt,256,2000,1,1.190674
1,4,encrypt,1024,2000,1,19.435264
1,4,decrypt,1024,2000,1,17.819547
1,4,encrypt,2048,2000,1,76.618694
1,4,decrypt,2048,2000,1,70.318296
1,4,encrypt,4096,2000,1,303.080651
1,4,decrypt,4096,2000,1,278.813897
2,1,encrypt,32,2000,1,30.209750
2,1,decrypt,32,2000,1,30.140154
2,1,encrypt,64,2000,1,1.170002
2,1,decrypt,64,2000,1,30.606710
2,1,encrypt,128,2000,1,1.248348
2,1,decrypt,128,2000,1,0.226126
2,1,encrypt,256,2000,1,1.794104
2,1,decrypt,256,2000,1,1.762392
2,1,encrypt,1024,2000,1,11.845981
2,1,decrypt,1024,2000,1,41.238035
2,1,encrypt,2048,2000,1,47.198437
2,1,decrypt,2048,2000,1,74.700314
2,1,encrypt,4096,2000,1,188.315693
2,1,decrypt,4096,2000,1,177.726571
2,2,encrypt,32,2000,1,30.093767
2,2,decrypt,32,2000,1,0.055207
2,2,encrypt,64,2000,1,0.094610
2,2,decrypt,64,2000,1,0.082997
2,2,encrypt,128,2000,1,0.204962
2,2,decrypt,128,2000,1,1.193507
2,2,encrypt,256,2000,1,0.657964
2,2,decrypt,256,2000,1,30.939115
2,2,encrypt,1024,2000,1,10.712577
2,2,decrypt,1024,2000,1,38.993121
2,2,encrypt,2048,2000,1,39.077948
2,2,decrypt,2048,2000,1,65.350419
2,2,encrypt,4096,2000,1,151.717097
2,2,decrypt,4096,2000,1,139.057365
2,4,encrypt,32,2000,1,30.385976
2,4,decrypt,32,2000,1,0.103319
2,4,encrypt,64,2000,1,1.173807
2,4,decrypt,64,2000,1,0.114604
2,4,encrypt,128,2000,1,1.293043
2,4,decrypt,128,2000,1,0.220034
2,4,encrypt,256,2000,1,0.698445
2,4,decrypt,256,2000,1,0.644253
2,4,encrypt,1024,2000,1,9.676005
2,4,decrypt,1024,2000,1,8.897111
2,4,encrypt,2048,2000,1,39.380414
2,4,decrypt,2048,2000,1,65.588430
2,4,encrypt,4096,2000,1,151.700849
2,4,decrypt,4096,2000,1,139.225468
4,1,encrypt,32,2000,1,30.527438
4,1,decrypt,32,2000,1,0.040500
4,1,encrypt,64,2000,1,1.104258
4,1,decrypt,64,2000,1,0.093102
4,1,encrypt,128,2000,1,0.179880
4,1,decrypt,128,2000,1,1.190674
4,1,encrypt,256,2000,1,0.454159
4,1,decrypt,256,2000,1,0.411271
4,1,encrypt,1024,2000,1,5.952327
4,1,decrypt,1024,2000,1,6.599728
4,1,encrypt,2048,2000,1,23.602374
4,1,decrypt,2048,2000,1,52.533323
4,1,encrypt,4096,2000,1,125.284930
4,1,decrypt,4096,2000,1,88.781763
4,2,encrypt,32,2000,1,0.047612
4,2,decrypt,32,2000,1,0.056273
4,2,encrypt,64,2000,1,0.065815
4,2,decrypt,64,2000,1,0.071682
4,2,encrypt,128,2000,1,0.116215
4,2,decrypt,128,2000,1,0.114466
4,2,encrypt,256,2000,1,1.378818
4,2,decrypt,256,2000,1,0.325197
4,2,encrypt,1024,2000,1,6.200625
4,2,decrypt,1024,2000,1,4.423322
4,2,encrypt,2048,2000,1,19.171133
4,2,decrypt,2048,2000,1,47.774045
4,2,encrypt,4096,2000,1,76.604162
4,2,decrypt,4096,2000,1,101.000301
4,4,encrypt,32,2000,1,30.323835
4,4,decrypt,32,2000,1,0.100672
4,4,encrypt,64,2000,1,0.129661
4,4,decrypt,64,2000,1,1.176257
4,4,encrypt,128,2000,1,1.210112
4,4,decrypt,128,2000,1,1.207253
4,4,encrypt,256,2000,1,0.423192
4,4,decrypt,256,2000,1,0.367959
4,4,encrypt,1024,2000,1,5.024938
4,4,decrypt,1024,2000,1,4.544519
4,4,encrypt,2048,2000,1,19.834274
4,4,decrypt,2048,2000,1,17.885023
4,4,encrypt,4096,2000,1,76.981341
4,4,decrypt,4096,2000,1,100.882306
8,1,encrypt,32,2000,1,0.059387
8,1,decrypt,32,2000,1,0.044355
8,1,encrypt,64,2000,1,0.074360
8,1,decrypt,64,2000,1,1.090596
8,1,encrypt,128,2000,1,0.153802
8,1,decrypt,128,2000,1,1.111673
8,1,encrypt,256,2000,1,0.285707
8,1,decrypt,256,2000,1,1.277303
8,1,encrypt,1024,2000,1,4.142103
8,1,decrypt,1024,2000,1,2.876200
8,1,encrypt,2048,2000,1,12.052373
8,1,decrypt,2048,2000,1,42.139643
8,1,encrypt,4096,2000,1,48.441955
8,1,decrypt,4096,2000,1,76.564781
8,2,encrypt,32,2000,1,0.183085
8,2,decrypt,32,2000,1,120.769777
8,2,encrypt,64,2000,1,0.074446
8,2,decrypt,64,2000,1,0.077021
8,2,encrypt,128,2000,1,0.121446
8,2,decrypt,128,2000,1,1.131208
8,2,encrypt,256,2000,1,0.254779
8,2,decrypt,256,2000,1,0.187369
8,2,encrypt,1024,2000,1,2.577639
8,2,decrypt,1024,2000,1,2.339837
8,2,encrypt,2048,2000,1,11.080665
8,2,decrypt,2048,2000,1,39.774513
8,2,encrypt,4096,2000,1,40.046411
8,2,decrypt,4096,2000,1,36.861734
8,4,encrypt,32,2000,1,0.142888
8,4,decrypt,32,2000,1,90.909936
8,4,encrypt,64,2000,1,1.175837
8,4,decrypt,64,2000,1,30.187315
8,4,encrypt,128,2000,1,1.328445
8,4,decrypt,128,2000,1,0.153013
8,4,encrypt,256,2000,1,0.273109
8,4,decrypt,256,2000,1,0.286760
8,4,encrypt,1024,2000,1,2.930696
8,4,decrypt,1024,2000,1,2.466874
8,4,encrypt,2048,2000,1,10.211781
8,4,decrypt,2048,2000,1,9.396786
8,4,encrypt,4096,2000,1,41.815855
8,4,decrypt,4096,2000,1,68.309722
16,1,encrypt,32,2000,1,30.234108
16,1,decrypt,32,2000,1,0.091768
16,1,encrypt,64,2000,1,0.112977
16,1,decrypt,64,2000,1,1.125154
16,1,encrypt,128,2000,1,0.154936
16,1,decrypt,128,2000,1,0.123458
16,1,encrypt,256,2000,1,1.247362
16,1,decrypt,256,2000,1,0.197512
16,1,encrypt,1024,2000,1,1.868101
16,1,decrypt,1024,2000,1,1.772889
16,1,encrypt,2048,2000,1,7.158096
16,1,decrypt,2048,2000,1,36.817575
16,1,encrypt,4096,2000,1,29.500307
16,1,decrypt,4096,2000,1,27.243613
16,2,encrypt,32,2000,1,0.100235
16,2,decrypt,32,2000,1,181.404103
16,2,encrypt,64,2000,1,30.263694
16,2,decrypt,64,2000,1,0.097383
16,2,encrypt,128,2000,1,0.121330
16,2,decrypt,128,2000,1,0.112075
16,2,encrypt,256,2000,1,0.179200
16,2,decrypt,256,2000,1,0.158822
16,2,encrypt,1024,2000,1,1.566709
16,2,decrypt,1024,2000,1,31.728662
16,2,encrypt,2048,2000,1,5.962175
16,2,decrypt,2048,2000,1,35.452465
16,2,encrypt,4096,2000,1,23.295853
16,2,decrypt,4096,2000,1,51.329936
16,4,encrypt,32,2000,1,1.298498
16,4,decrypt,32,2000,1,181.246937
16,4,encrypt,64,2000,1,0.182137
16,4,decrypt,64,2000,1,1.183359
16,4,encrypt,128,2000,1,0.187895
16,4,decrypt,128,2000,1,0.179172
16,4,encrypt,256,2000,1,0.261267
16,4,decrypt,256,2000,1,30.288776
16,4,encrypt,1024,2000,1,1.820198
16,4,decrypt,1024,2000,1,31.976544
16,4,encrypt,2048,2000,1,6.083218
