np,omp_threads,mode,grid,iters,repeat,runtime_s
1,1,encrypt,32,2000,1,0.170337
1,1,decrypt,32,2000,1,0.044044
1,1,encrypt,64,2000,1,0.122329
1,1,decrypt,64,2000,1,0.096829
1,1,encrypt,128,2000,1,0.387193
1,1,decrypt,128,2000,1,0.344175
1,1,encrypt,256,2000,1,1.482646
1,1,decrypt,256,2000,1,1.336925
1,1,encrypt,32,2000,1,0.058399
1,1,decrypt,32,2000,1,0.047054
1,1,encrypt,64,2000,1,0.125516
1,1,decrypt,64,2000,1,0.102067
1,1,encrypt,128,2000,1,0.379554
1,1,decrypt,128,2000,1,0.341215
1,1,encrypt,256,2000,1,1.442148
1,1,decrypt,256,2000,1,1.383865
1,1,encrypt,1024,2000,1,23.019698
1,1,decrypt,1024,2000,1,20.981846
1,1,encrypt,2048,2000,1,90.457228
1,1,decrypt,2048,2000,1,83.882660
1,1,encrypt,4096,2000,1,365.234662
1,1,decrypt,4096,2000,1,336.797836
1,2,encrypt,32,2000,1,0.185057
1,2,decrypt,32,2000,1,0.062285
1,2,encrypt,64,2000,1,0.129305
1,2,decrypt,64,2000,1,0.109377
1,2,encrypt,128,2000,1,0.326214
1,2,decrypt,128,2000,1,0.313584
1,2,encrypt,256,2000,1,1.241330
1,2,decrypt,256,2000,1,1.140041
1,2,encrypt,1024,2000,1,18.807810
1,2,decrypt,1024,2000,1,17.243426
1,2,encrypt,2048,2000,1,75.095444
1,2,decrypt,2048,2000,1,68.876833
1,2,encrypt,4096,2000,1,300.684079
1,2,decrypt,4096,2000,1,275.337712
1,4,encrypt,32,2000,1,0.228728
1,4,decrypt,32,2000,1,0.106032
1,4,encrypt,64,2000,1,0.161341
1,4,decrypt,64,2000,1,0.150277
1,4,encrypt,128,2000,1,0.400782
1,4,decrypt,128,2000,1,0.347428
1,4,encrypt,256,2000,1,1.303586
1,4,decrypt,256,2000,1,1.202220
1,4,encrypt,1024,2000,1,19.174997
1,4,decrypt,1024,2000,1,17.584194
1,4,encrypt,2048,2000,1,75.705230
1,4,decrypt,2048,2000,1,69.290788
1,4,encrypt,4096,2000,1,301.079894
1,4,decrypt,4096,2000,1,275.108328
1,6,encrypt,32,2000,1,0.142928
1,6,decrypt,32,2000,1,0.139699
1,6,encrypt,64,2000,1,0.196125
1,6,decrypt,64,2000,1,0.177487
1,6,encrypt,128,2000,1,0.425795
1,6,decrypt,128,2000,1,0.388044
1,6,encrypt,256,2000,1,1.328609
1,6,decrypt,256,2000,1,1.226131
1,6,encrypt,1024,2000,1,19.303092
1,6,decrypt,1024,2000,1,17.746171
1,6,encrypt,2048,2000,1,75.523742
1,6,decrypt,2048,2000,1,69.579957
1,6,encrypt,4096,2000,1,300.154048
1,6,decrypt,4096,2000,1,275.146223
1,8,encrypt,32,2000,1,0.299318
1,8,decrypt,32,2000,1,0.164108
1,8,encrypt,64,2000,1,0.238057
1,8,decrypt,64,2000,1,0.217415
1,8,encrypt,128,2000,1,0.467349
1,8,decrypt,128,2000,1,0.412724
1,8,encrypt,256,2000,1,1.365376
1,8,decrypt,256,2000,1,1.260036
1,8,encrypt,1024,2000,1,19.250260
1,8,decrypt,1024,2000,1,17.725989
1,8,encrypt,2048,2000,1,75.588940
1,8,decrypt,2048,2000,1,69.329812
1,8,encrypt,4096,2000,1,299.917325
1,8,decrypt,4096,2000,1,275.233835
1,10,encrypt,32,2000,1,0.336414
1,10,decrypt,32,2000,1,0.208666
1,10,encrypt,64,2000,1,0.262161
1,10,decrypt,64,2000,1,0.244675
1,10,encrypt,128,2000,1,0.485390
1,10,decrypt,128,2000,1,0.440004
1,10,encrypt,256,2000,1,1.395259
1,10,decrypt,256,2000,1,1.276421
1,10,encrypt,1024,2000,1,19.329821
1,10,decrypt,1024,2000,1,17.770776
1,10,encrypt,2048,2000,1,75.698030
1,10,decrypt,2048,2000,1,69.384459
1,10,encrypt,4096,2000,1,300.103431
1,10,decrypt,4096,2000,1,275.277640
2,1,encrypt,32,2000,1,30.234216
2,1,decrypt,32,2000,1,30.552562
2,1,encrypt,64,2000,1,1.280569
2,1,decrypt,64,2000,1,30.189810
2,1,encrypt,128,2000,1,0.257689
2,1,decrypt,128,2000,1,0.219373
2,1,encrypt,256,2000,1,0.748396
2,1,decrypt,256,2000,1,0.707011
2,1,encrypt,1024,2000,1,12.479845
2,1,decrypt,1024,2000,1,41.026654
2,1,encrypt,2048,2000,1,45.635237
2,1,decrypt,2048,2000,1,73.408549
2,1,encrypt,4096,2000,1,211.117742
2,1,decrypt,4096,2000,1,168.418503
2,2,encrypt,32,2000,1,30.613111
2,2,decrypt,32,2000,1,1.116576
2,2,encrypt,64,2000,1,0.092068
2,2,decrypt,64,2000,1,1.105777
2,2,encrypt,128,2000,1,0.203516
2,2,decrypt,128,2000,1,1.182758
2,2,encrypt,256,2000,1,1.696922
2,2,decrypt,256,2000,1,0.590972
2,2,encrypt,1024,2000,1,9.506849
2,2,decrypt,1024,2000,1,8.675850
2,2,encrypt,2048,2000,1,37.716411
2,2,decrypt,2048,2000,1,64.572469
2,2,encrypt,4096,2000,1,149.932690
2,2,decrypt,4096,2000,1,167.456727
2,4,encrypt,32,2000,1,0.210776
2,4,decrypt,32,2000,1,1.100280
2,4,encrypt,64,2000,1,0.126449
2,4,decrypt,64,2000,1,1.160696
2,4,encrypt,128,2000,1,0.240545
2,4,decrypt,128,2000,1,1.265947
2,4,encrypt,256,2000,1,1.722314
2,4,decrypt,256,2000,1,0.645096
2,4,encrypt,1024,2000,1,9.594745
2,4,decrypt,1024,2000,1,8.761921
2,4,encrypt,2048,2000,1,39.139020
2,4,decrypt,2048,2000,1,65.102806
2,4,encrypt,4096,2000,1,150.480891
2,4,decrypt,4096,2000,1,138.059403
2,6,encrypt,32,2000,1,0.142481
2,6,decrypt,32,2000,1,0.134865
2,6,encrypt,64,2000,1,1.217434
2,6,decrypt,64,2000,1,0.164007
